Input_angles1, Input_angles2, Calc_angles1,Calc_angles2, Voltage1,Voltage2,Voltage3,Voltage4,Calc_angles
0,0,0,0,0,0,0,0,                                                                                                                                 29,-30,55.00,55.00,49.00,46.00,7.77,-1.65,

-2,-16,53.00,53.00,52.00,52.00,1.08,0.00,

-3,-16,53.00,51.00,51.00,50.00,1.65,0.56,

-4,-16,52.00,52.00,51.00,52.00,0.55,0.55,

-5,-16,52.00,52.00,51.00,52.00,0.55,0.55,

-6,-16,50.00,51.00,51.00,51.00,-0.56,-0.56,

-7,-16,61.00,50.00,50.00,50.00,5.66,5.66,

-8,-16,47.00,50.00,53.00,52.00,-4.36,-2.22,

-9,-16,52.00,52.00,51.00,52.00,0.55,0.55,

-10,-16,53.00,52.00,51.00,52.00,1.09,1.09,

-11,-16,53.00,52.00,52.00,53.00,0.00,1.08,

-12,-16,55.00,53.00,51.00,51.00,3.18,1.08,

-13,-16,52.00,52.00,51.00,51.00,1.10,0.00,

-14,-16,52.00,52.00,51.00,52.00,0.55,0.55,

-15,-16,50.00,51.00,51.00,51.00,-0.56,-0.56,

-16,-16,55.00,52.00,52.00,50.00,2.68,0.55,

-17,-16,54.00,53.00,51.00,50.00,3.21,0.00,

-18,-16,52.00,52.00,51.00,52.00,0.55,0.55,

-19,-16,52.00,52.00,52.00,51.00,0.55,-0.55,

-20,-16,53.00,52.00,52.00,52.00,0.55,0.55,

-21,-16,43.00,52.00,51.00,51.00,-3.93,-4.99,

-22,-16,53.00,52.00,51.00,52.00,1.09,1.09,

-23,-16,53.00,52.00,51.00,52.00,1.09,1.09,

-24,-16,51.00,51.00,51.00,51.00,0.00,0.00,

-25,-16,50.00,51.00,51.00,51.00,-0.56,-0.56,

-26,-16,48.00,52.00,51.00,52.00,-1.67,-1.67,

-27,-16,53.00,52.00,52.00,52.00,0.55,0.55,

-28,-16,53.00,52.00,51.00,52.00,1.09,1.09,

-29,-16,52.00,53.00,52.00,52.00,0.55,-0.55,

-30,-16,44.00,52.00,49.00,53.00,-3.37,-2.27,

-30,-15,67.00,54.00,51.00,52.00,8.46,6.71,

-29,-15,52.00,52.00,51.00,52.00,0.55,0.55,

-28,-15,52.00,52.00,51.00,52.00,0.55,0.55,

-27,-15,52.00,52.00,51.00,51.00,1.10,0.00,

-26,-15,44.00,52.00,51.00,51.00,-3.37,-4.44,

-25,-15,51.00,52.00,52.00,52.00,-0.55,-0.55,

-24,-15,52.00,52.00,51.00,52.00,0.55,0.55,

-23,-15,53.00,52.00,52.00,52.00,0.55,0.55,

-22,-15,54.00,52.00,52.00,52.00,1.08,1.08,

-21,-15,54.00,52.00,52.00,53.00,0.54,1.61,

-20,-15,52.00,52.00,51.00,52.00,0.55,0.55,

-19,-15,51.00,52.00,52.00,52.00,-0.55,-0.55,

-18,-15,52.00,51.00,51.00,51.00,0.56,0.56,

-17,-15,55.00,61.00,52.00,50.00,6.88,-4.05,

-16,-15,54.00,50.00,53.00,53.00,-1.08,2.14,

-15,-15,52.00,52.00,51.00,52.00,0.55,0.55,

-14,-15,53.00,52.00,51.00,52.00,1.09,1.09,

-13,-15,53.00,52.00,52.00,52.00,0.55,0.55,

-12,-15,55.00,53.00,52.00,53.00,1.59,1.59,

-11,-15,51.00,52.00,51.00,51.00,0.56,-0.56,

-10,-15,52.00,52.00,51.00,52.00,0.55,0.55,

-9,-15,50.00,52.00,50.00,51.00,0.56,-0.56,

-8,-15,52.00,51.00,52.00,52.00,-0.55,0.55,

-7,-15,52.00,53.00,52.00,53.00,0.00,0.00,

-6,-15,52.00,52.00,51.00,52.00,0.55,0.55,

-5,-15,52.00,52.00,51.00,51.00,1.10,0.00,

-4,-15,54.00,53.00,52.00,52.00,1.61,0.54,

-3,-15,48.00,50.00,52.00,53.00,-3.81,-0.56,

-2,-15,55.00,40.00,48.00,51.00,-2.31,9.64,

-1,-15,52.00,52.00,51.00,52.00,0.55,0.55,

0,-15,52.00,52.00,51.00,52.00,0.55,0.55,

1,-15,51.00,52.00,50.00,51.00,1.11,0.00,

2,-15,42.00,51.00,52.00,51.00,-5.55,-5.55,

3,-15,52.00,51.00,52.00,52.00,-0.55,0.55,

4,-15,52.00,52.00,52.00,52.00,0.00,0.00,

5,-15,53.00,52.00,51.00,52.00,1.09,1.09,

6,-15,53.00,53.00,52.00,52.00,1.08,0.00,

7,-15,52.00,54.00,49.00,52.00,2.70,0.55,

8,-15,53.00,51.00,52.00,52.00,0.00,1.09,

9,-15,52.00,52.00,51.00,52.00,0.55,0.55,

10,-15,52.00,52.00,51.00,51.00,1.10,0.00,

11,-15,51.00,52.00,51.00,51.00,0.56,-0.56,

12,-15,53.00,52.00,50.00,50.00,2.73,0.56,

13,-15,52.00,52.00,52.00,52.00,0.00,0.00,

14,-15,52.00,52.00,51.00,52.00,0.55,0.55,

15,-15,54.00,53.00,51.00,52.00,2.14,1.08,

16,-15,55.00,53.00,52.00,63.00,-3.48,6.29,

17,-15,51.00,51.00,49.00,53.00,0.00,2.20,

18,-15,52.00,52.00,51.00,52.00,0.55,0.55,

19,-15,52.00,52.00,52.00,52.00,0.00,0.00,

20,-15,52.00,51.00,50.00,51.00,1.11,1.11,

21,-15,52.00,51.00,52.00,52.00,-0.55,0.55,

22,-15,55.00,52.00,52.00,53.00,1.07,2.12,

23,-15,52.00,52.00,51.00,52.00,0.55,0.55,

24,-15,52.00,52.00,51.00,52.00,0.55,0.55,

25,-15,53.00,52.00,52.00,52.00,0.55,0.55,

26,-15,56.00,52.00,51.00,52.00,2.65,2.65,

27,-15,54.00,52.00,51.00,52.00,1.62,1.62,

28,-15,52.00,52.00,51.00,52.00,0.55,0.55,

29,-15,58.00,52.00,51.00,51.00,4.16,3.15,

29,-14,57.00,59.00,51.00,51.00,6.88,-1.04,

28,-14,53.00,50.00,48.00,53.00,1.11,4.32,

27,-14,56.00,52.00,51.00,52.00,2.65,2.65,

26,-14,53.00,52.00,51.00,52.00,1.09,1.09,

25,-14,53.00,52.00,52.00,52.00,0.55,0.55,

24,-14,52.00,52.00,51.00,51.00,1.10,0.00,

23,-14,43.00,52.00,52.00,53.00,-5.44,-4.40,

22,-14,52.00,52.00,51.00,52.00,0.55,0.55,

21,-14,53.00,52.00,51.00,51.00,1.64,0.55,

20,-14,50.00,51.00,50.00,51.00,0.00,0.00,

19,-14,49.00,50.00,53.00,52.00,-3.27,-1.11,

18,-14,51.00,53.00,51.00,50.00,1.65,-1.65,

17,-14,52.00,52.00,51.00,52.00,0.55,0.55,

16,-14,52.00,52.00,52.00,52.00,0.00,0.00,

15,-14,54.00,52.00,51.00,52.00,1.62,1.62,

14,-14,54.00,52.00,50.00,52.00,2.16,2.16,

13,-14,53.00,51.00,51.00,52.00,0.55,1.64,

12,-14,52.00,52.00,51.00,51.00,1.10,0.00,

11,-14,50.00,52.00,51.00,52.00,-0.56,-0.56,

10,-14,54.00,52.00,50.00,52.00,2.16,2.16,

9,-14,50.00,53.00,51.00,51.00,0.56,-1.65,

8,-14,52.00,52.00,51.00,52.00,0.55,0.55,

7,-14,52.00,52.00,52.00,52.00,0.00,0.00,

6,-14,59.00,52.00,52.00,53.00,3.09,4.09,

5,-14,55.00,53.00,52.00,53.00,1.59,1.59,

4,-14,44.00,51.00,49.00,52.00,-3.40,-2.29,

3,-14,51.00,52.00,51.00,51.00,0.56,-0.56,

2,-14,51.00,52.00,51.00,52.00,0.00,0.00,

1,-14,52.00,52.00,51.00,51.00,1.10,0.00,

0,-14,51.00,50.00,48.00,50.00,1.70,1.70,

-1,-14,54.00,53.00,51.00,52.00,2.14,1.08,

-2,-14,53.00,52.00,52.00,52.00,0.55,0.55,

-3,-14,53.00,53.00,52.00,52.00,1.08,0.00,

-4,-14,51.00,53.00,52.00,52.00,0.00,-1.09,

-5,-14,48.00,51.00,52.00,52.00,-2.75,-1.67,

-6,-14,52.00,52.00,51.00,52.00,0.55,0.55,

-7,-14,52.00,52.00,51.00,52.00,0.55,0.55,

-8,-14,52.00,51.00,51.00,51.00,0.56,0.56,

-9,-14,43.00,53.00,52.00,52.00,-4.40,-5.44,

-10,-14,49.00,51.00,50.00,53.00,-1.67,0.56,

-11,-14,52.00,52.00,51.00,52.00,0.55,0.55,

-12,-14,53.00,52.00,52.00,52.00,0.55,0.55,

-13,-14,53.00,52.00,51.00,52.00,1.09,1.09,

-14,-14,55.00,52.00,50.00,51.00,3.21,2.16,

-15,-14,52.00,52.00,51.00,51.00,1.10,0.00,

-16,-14,52.00,52.00,51.00,52.00,0.55,0.55,

-17,-14,50.00,53.00,51.00,51.00,0.56,-1.65,

-18,-14,45.00,51.00,51.00,52.00,-3.89,-2.81,

-19,-14,53.00,53.00,50.00,52.00,2.16,1.09,

-20,-14,52.00,52.00,52.00,52.00,0.00,0.00,

-21,-14,53.00,52.00,51.00,52.00,1.09,1.09,

-22,-14,52.00,52.00,51.00,53.00,0.00,1.09,

-23,-14,56.00,53.00,51.00,53.00,2.63,2.63,

-24,-14,53.00,51.00,52.00,52.00,0.00,1.09,

-25,-14,52.00,52.00,51.00,52.00,0.55,0.55,

-26,-14,52.00,52.00,51.00,52.00,0.55,0.55,

-27,-14,50.00,52.00,51.00,51.00,0.00,-1.11,

-28,-14,45.00,52.00,52.00,50.00,-2.81,-4.95,

-29,-14,52.00,52.00,52.00,52.00,0.00,0.00,

-30,-14,52.00,52.00,51.00,52.00,0.55,0.55,

-30,-13,52.00,54.00,57.00,52.00,-1.58,-3.61,

-29,-13,51.00,52.00,52.00,52.00,-0.55,-0.55,

-28,-13,55.00,53.00,52.00,52.00,2.12,1.07,

-27,-13,52.00,52.00,51.00,51.00,1.10,0.00,

-26,-13,53.00,52.00,51.00,51.00,1.64,0.55,

-25,-13,51.00,52.00,51.00,51.00,0.56,-0.56,

-24,-13,51.00,52.00,50.00,52.00,0.56,0.56,

-23,-13,48.00,52.00,51.00,52.00,-1.67,-1.67,

-22,-13,52.00,52.00,51.00,52.00,0.55,0.55,

-21,-13,48.00,52.00,52.00,52.00,-2.20,-2.20,

-20,-13,52.00,52.00,51.00,52.00,0.55,0.55,

-19,-13,55.00,53.00,49.00,51.00,4.24,2.16,

-18,-13,52.00,52.00,51.00,51.00,1.10,0.00,

-17,-13,52.00,52.00,51.00,52.00,0.55,0.55,

-16,-13,52.00,51.00,51.00,50.00,1.11,0.00,

-15,-13,55.00,53.00,51.00,53.00,2.12,2.12,

-14,-13,53.00,50.00,52.00,51.00,0.00,1.10,

-13,-13,52.00,52.00,51.00,51.00,1.10,0.00,

-12,-13,52.00,52.00,51.00,52.00,0.55,0.55,

-11,-13,52.00,52.00,51.00,52.00,0.55,0.55,

-10,-13,54.00,50.00,51.00,52.00,0.55,2.70,

-9,-13,47.00,52.00,51.00,53.00,-2.75,-1.67,

-8,-13,53.00,52.00,51.00,52.00,1.09,1.09,

-7,-13,52.00,52.00,51.00,51.00,1.10,0.00,

-6,-13,51.00,51.00,51.00,52.00,-0.56,0.56,

-5,-13,54.00,50.00,53.00,51.00,0.00,1.09,

-4,-13,53.00,52.00,51.00,52.00,1.09,1.09,

-3,-13,52.00,52.00,52.00,52.00,0.00,0.00,

-2,-13,53.00,53.00,52.00,52.00,1.08,0.00,

-1,-13,53.00,52.00,52.00,52.00,0.55,0.55,

0,-13,52.00,54.00,54.00,53.00,-0.54,-1.59,

1,-13,51.00,52.00,51.00,51.00,0.56,-0.56,

2,-13,52.00,52.00,51.00,51.00,1.10,0.00,

3,-13,51.00,51.00,50.00,51.00,0.56,0.56,

4,-13,55.00,51.00,52.00,51.00,1.62,1.62,

5,-13,45.00,53.00,51.00,52.00,-2.78,-3.85,

6,-13,52.00,52.00,51.00,52.00,0.55,0.55,

7,-13,52.00,52.00,51.00,52.00,0.55,0.55,

8,-13,54.00,52.00,52.00,53.00,0.54,1.61,

9,-13,54.00,53.00,53.00,53.00,0.54,0.54,

10,-13,48.00,53.00,51.00,51.00,-0.56,-2.75,

11,-13,52.00,52.00,51.00,52.00,0.55,0.55,

12,-13,52.00,52.00,51.00,51.00,1.10,0.00,

13,-13,52.00,52.00,51.00,52.00,0.55,0.55,

14,-13,52.00,51.00,53.00,53.00,-1.62,0.55,

15,-13,53.00,52.00,51.00,52.00,1.09,1.09,

16,-13,52.00,52.00,52.00,52.00,0.00,0.00,

17,-13,53.00,53.00,52.00,53.00,0.54,0.54,

18,-13,54.00,52.00,51.00,51.00,2.16,1.09,

19,-13,56.00,53.00,51.00,53.00,2.63,2.63,

20,-13,52.00,52.00,51.00,51.00,1.10,0.00,

21,-13,52.00,52.00,51.00,52.00,0.55,0.55,

22,-13,50.00,51.00,50.00,51.00,0.00,0.00,

23,-13,55.00,53.00,51.00,51.00,3.18,1.08,

24,-13,50.00,53.00,52.00,52.00,-0.55,-1.64,

25,-13,52.00,52.00,51.00,52.00,0.55,0.55,

26,-13,53.00,52.00,52.00,52.00,0.55,0.55,

27,-13,54.00,53.00,52.00,52.00,1.61,0.54,

28,-13,49.00,53.00,49.00,50.00,1.68,-1.68,

29,-13,52.00,52.00,51.00,52.00,0.55,0.55,

29,-12,56.00,53.00,51.00,51.00,3.67,1.61,

28,-12,50.00,52.00,51.00,51.00,0.00,-1.11,

27,-12,52.00,52.00,51.00,51.00,1.10,0.00,

26,-12,46.00,51.00,51.00,52.00,-3.33,-2.25,

25,-12,52.00,52.00,52.00,52.00,0.00,0.00,

24,-12,52.00,52.00,51.00,52.00,0.55,0.55,

23,-12,53.00,53.00,52.00,52.00,1.08,0.00,

22,-12,53.00,52.00,51.00,52.00,1.09,1.09,

21,-12,59.00,51.00,53.00,51.00,3.12,3.12,

20,-12,52.00,52.00,51.00,51.00,1.10,0.00,

19,-12,52.00,52.00,51.00,51.00,1.10,0.00,

18,-12,52.00,51.00,50.00,51.00,1.11,1.11,

17,-12,55.00,53.00,48.00,50.00,5.29,2.18,

16,-12,51.00,50.00,52.00,52.00,-1.65,0.56,

15,-12,52.00,52.00,52.00,52.00,0.00,0.00,

14,-12,52.00,52.00,51.00,52.00,0.55,0.55,

13,-12,53.00,52.00,52.00,52.00,0.55,0.55,

12,-12,54.00,50.00,51.00,51.00,1.10,2.18,

11,-12,52.00,52.00,51.00,52.00,0.55,0.55,

10,-12,52.00,52.00,51.00,52.00,0.55,0.55,

9,-12,52.00,51.00,51.00,51.00,0.56,0.56,

8,-12,54.00,51.00,52.00,53.00,0.00,2.14,

7,-12,43.00,53.00,52.00,52.00,-4.40,-5.44,

6,-12,87.00,52.00,51.00,52.00,14.52,14.52,

5,-12,52.00,52.00,51.00,52.00,0.55,0.55,

4,-12,53.00,53.00,52.00,52.00,1.08,0.00,

3,-12,48.00,53.00,51.00,51.00,-0.56,-2.75,

2,-12,48.00,52.00,51.00,51.00,-1.12,-2.22,

1,-12,51.00,52.00,51.00,51.00,0.56,-0.56,

0,-12,52.00,51.00,51.00,51.00,0.56,0.56,

-1,-12,50.00,52.00,51.00,52.00,-0.56,-0.56,

-2,-12,54.00,51.00,51.00,52.00,1.09,2.16,

-3,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-4,-12,52.00,52.00,52.00,52.00,0.00,0.00,

-5,-12,53.00,52.00,51.00,52.00,1.09,1.09,

-6,-12,51.00,54.00,52.00,52.00,0.55,-1.62,

-7,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-8,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-9,-12,51.00,52.00,51.00,51.00,0.56,-0.56,

-10,-12,53.00,53.00,50.00,52.00,2.16,1.09,

-11,-12,53.00,52.00,52.00,52.00,0.55,0.55,

-12,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-13,-12,52.00,52.00,52.00,52.00,0.00,0.00,

-14,-12,54.00,53.00,52.00,52.00,1.61,0.54,

-15,-12,49.00,53.00,50.00,50.00,1.12,-2.22,

-16,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-17,-12,52.00,52.00,51.00,51.00,1.10,0.00,

-18,-12,51.00,51.00,51.00,51.00,0.00,0.00,

-19,-12,56.00,52.00,51.00,50.00,3.71,1.62,

-20,-12,50.00,53.00,52.00,52.00,-0.55,-1.64,

-21,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-22,-12,53.00,52.00,52.00,52.00,0.55,0.55,

-23,-12,52.00,53.00,52.00,53.00,0.00,0.00,

-24,-12,56.00,52.00,49.00,52.00,3.71,3.71,

-25,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-26,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-27,-12,52.00,51.00,51.00,51.00,0.56,0.56,

-28,-12,48.00,50.00,51.00,51.00,-2.25,-1.13,

-29,-12,52.00,52.00,51.00,52.00,0.55,0.55,

-30,-12,52.00,52.00,52.00,52.00,0.00,0.00,

-30,-11,53.00,40.00,52.00,52.00,-6.04,7.06,

-29,-11,55.00,53.00,51.00,51.00,3.18,1.08,

-28,-11,51.00,51.00,51.00,52.00,-0.56,0.56,

-27,-11,52.00,52.00,51.00,51.00,1.10,0.00,

-26,-11,51.00,51.00,51.00,51.00,0.00,0.00,

-25,-11,53.00,52.00,50.00,52.00,1.64,1.64,

-24,-11,55.00,53.00,53.00,53.00,1.06,1.06,

-23,-11,53.00,52.00,52.00,52.00,0.55,0.55,

-22,-11,53.00,52.00,52.00,52.00,0.55,0.55,

-21,-11,53.00,52.00,52.00,52.00,0.55,0.55,

-20,-11,51.00,54.00,51.00,40.00,7.59,-7.59,

-19,-11,52.00,52.00,51.00,52.00,0.55,0.55,

-18,-11,52.00,52.00,51.00,52.00,0.55,0.55,

-17,-11,51.00,51.00,50.00,51.00,0.56,0.56,

-16,-11,50.00,51.00,53.00,53.00,-2.70,-0.55,

-15,-11,53.00,52.00,51.00,52.00,1.09,1.09,

-14,-11,52.00,52.00,51.00,52.00,0.55,0.55,

-13,-11,53.00,53.00,52.00,52.00,1.08,0.00,

-12,-11,49.00,53.00,50.00,53.00,-0.56,-0.56,

-11,-11,50.00,53.00,50.00,51.00,1.11,-1.11,

-10,-11,52.00,52.00,51.00,52.00,0.55,0.55,

-9,-11,50.00,51.00,51.00,52.00,-1.11,0.00,

-8,-11,48.00,52.00,51.00,52.00,-1.67,-1.67,

-7,-11,53.00,53.00,48.00,51.00,3.78,1.65,

-6,-11,52.00,52.00,51.00,52.00,0.55,0.55,

-5,-11,52.00,53.00,51.00,52.00,1.09,0.00,

-4,-11,53.00,52.00,52.00,52.00,0.55,0.55,

-3,-11,51.00,53.00,51.00,53.00,0.00,0.00,

-2,-11,54.00,52.00,52.00,51.00,1.62,0.55,

-1,-11,52.00,52.00,51.00,52.00,0.55,0.55,

0,-11,52.00,51.00,51.00,51.00,0.56,0.56,

1,-11,52.00,52.00,52.00,52.00,0.00,0.00,

2,-11,44.00,52.00,53.00,50.00,-3.89,-5.98,

3,-11,53.00,52.00,52.00,52.00,0.55,0.55,

4,-11,48.00,52.00,51.00,52.00,-1.67,-1.67,

5,-11,53.00,52.00,52.00,52.00,0.55,0.55,

6,-11,53.00,54.00,52.00,53.00,1.07,0.00,

7,-11,50.00,52.00,51.00,52.00,-0.56,-0.56,

8,-11,52.00,52.00,51.00,52.00,0.55,0.55,

9,-11,52.00,52.00,95.00,51.00,-16.05,-16.66,

10,-11,50.00,52.00,50.00,50.00,1.12,-1.12,

11,-11,47.00,53.00,53.00,51.00,-2.20,-4.32,

12,-11,52.00,52.00,52.00,52.00,0.00,0.00,

13,-11,53.00,52.00,52.00,52.00,0.55,0.55,

14,-11,54.00,53.00,52.00,52.00,1.61,0.54,

15,-11,56.00,52.00,53.00,53.00,1.06,2.10,

16,-11,52.00,52.00,51.00,52.00,0.55,0.55,

17,-11,52.00,52.00,51.00,51.00,1.10,0.00,

18,-11,52.00,51.00,51.00,51.00,0.56,0.56,

19,-11,45.00,51.00,52.00,52.00,-4.40,-3.33,

20,-11,56.00,52.00,51.00,50.00,3.71,1.62,

21,-11,52.00,52.00,51.00,51.00,1.10,0.00,

22,-11,52.00,52.00,51.00,52.00,0.55,0.55,

23,-11,53.00,52.00,51.00,52.00,1.09,1.09,

24,-11,54.00,51.00,52.00,53.00,0.00,2.14,

25,-11,51.00,52.00,51.00,51.00,0.56,-0.56,

26,-11,51.00,52.00,51.00,51.00,0.56,-0.56,

27,-11,51.00,51.00,51.00,51.00,0.00,0.00,

28,-11,50.00,51.00,51.00,51.00,-0.56,-0.56,

29,-11,56.00,53.00,53.00,51.00,2.63,0.54,

29,-10,57.00,52.00,51.00,51.00,3.67,2.65,

28,-10,52.00,52.00,51.00,52.00,0.55,0.55,

27,-10,52.00,52.00,52.00,52.00,0.00,0.00,

26,-10,54.00,53.00,52.00,53.00,1.07,1.07,

25,-10,51.00,53.00,50.00,52.00,1.10,0.00,

24,-10,52.00,52.00,51.00,52.00,0.55,0.55,

23,-10,51.00,51.00,51.00,51.00,0.00,0.00,

22,-10,50.00,51.00,51.00,51.00,-0.56,-0.56,

21,-10,42.00,49.00,51.00,51.00,-6.16,-4.00,

20,-10,52.00,52.00,51.00,52.00,0.55,0.55,

19,-10,52.00,52.00,51.00,52.00,0.55,0.55,

18,-10,52.00,52.00,52.00,52.00,0.00,0.00,

17,-10,60.00,53.00,53.00,53.00,3.54,3.54,

16,-10,49.00,52.00,51.00,51.00,-0.56,-1.67,

15,-10,51.00,52.00,51.00,51.00,0.56,-0.56,

14,-10,52.00,52.00,51.00,52.00,0.55,0.55,

13,-10,50.00,52.00,51.00,51.00,0.00,-1.11,

12,-10,56.00,51.00,50.00,52.00,2.68,3.71,

11,-10,52.00,52.00,52.00,52.00,0.00,0.00,

10,-10,52.00,52.00,52.00,52.00,0.00,0.00,

9,-10,52.00,52.00,52.00,52.00,0.00,0.00,

8,-10,52.00,53.00,51.00,52.00,1.09,0.00,

7,-10,49.00,50.00,51.00,50.00,-1.13,-1.13,

6,-10,55.00,52.00,51.00,52.00,2.14,2.14,

5,-10,52.00,52.00,51.00,51.00,1.10,0.00,

4,-10,50.00,51.00,51.00,51.00,-0.56,-0.56,

3,-10,49.00,51.00,49.00,59.00,-4.24,4.24,

2,-10,56.00,51.00,51.00,53.00,1.61,3.67,

1,-10,52.00,52.00,51.00,52.00,0.55,0.55,

0,-10,52.00,52.00,51.00,52.00,0.55,0.55,

-1,-10,53.00,52.00,52.00,52.00,0.55,0.55,

-2,-10,53.00,50.00,51.00,52.00,0.00,2.18,

-3,-10,52.00,52.00,51.00,51.00,1.10,0.00,

-4,-10,52.00,52.00,51.00,51.00,1.10,0.00,

-5,-10,51.00,51.00,50.00,51.00,0.56,0.56,

-6,-10,50.00,52.00,52.00,51.00,-0.56,-1.65,

-7,-10,46.00,53.00,52.00,52.00,-2.75,-3.81,

-8,-10,52.00,52.00,51.00,51.00,1.10,0.00,

-9,-10,52.00,52.00,51.00,52.00,0.55,0.55,

-10,-10,52.00,52.00,52.00,52.00,0.00,0.00,

-11,-10,52.00,54.00,51.00,50.00,2.70,-1.64,

-12,-10,52.00,51.00,50.00,51.00,1.11,1.11,

-13,-10,52.00,51.00,51.00,51.00,0.56,0.56,

-14,-10,50.00,51.00,50.00,51.00,0.00,0.00,

-15,-10,48.00,51.00,51.00,51.00,-1.68,-1.68,

-16,-10,52.00,51.00,51.00,52.00,0.00,1.10,

-17,-10,51.00,52.00,51.00,52.00,0.00,0.00,

-18,-10,52.00,52.00,51.00,52.00,0.55,0.55,

-19,-10,53.00,52.00,51.00,52.00,1.09,1.09,

-20,-10,48.00,51.00,52.00,51.00,-2.22,-2.22,

-21,-10,55.00,51.00,51.00,51.00,2.16,2.16,

-22,-10,52.00,52.00,51.00,51.00,1.10,0.00,

-23,-10,52.00,51.00,51.00,51.00,0.56,0.56,

-24,-10,51.00,51.00,51.00,51.00,0.00,0.00,

-25,-10,50.00,52.00,50.00,51.00,0.56,-0.56,

-26,-10,52.00,52.00,52.00,52.00,0.00,0.00,

-27,-10,52.00,52.00,51.00,51.00,1.10,0.00,

-28,-10,53.00,52.00,52.00,52.00,0.55,0.55,

-29,-10,54.00,52.00,51.00,50.00,2.70,0.55,

-30,-10,49.00,52.00,50.00,52.00,-0.56,-0.56,

-30,-9,56.00,60.00,51.00,52.00,6.39,-1.55,

-29,-9,52.00,52.00,51.00,51.00,1.10,0.00,

-28,-9,51.00,51.00,51.00,51.00,0.00,0.00,

-27,-9,53.00,53.00,48.00,52.00,3.24,2.18,

-26,-9,54.00,51.00,50.00,51.00,2.18,2.18,

-25,-9,52.00,52.00,51.00,52.00,0.55,0.55,

-24,-9,52.00,52.00,52.00,52.00,0.00,0.00,

-23,-9,53.00,53.00,52.00,52.00,1.08,0.00,

-22,-9,56.00,52.00,53.00,53.00,1.06,2.10,

-21,-9,51.00,52.00,51.00,52.00,0.00,0.00,

-20,-9,52.00,52.00,51.00,51.00,1.10,0.00,

-19,-9,52.00,51.00,51.00,50.00,1.11,0.00,

-18,-9,53.00,52.00,50.00,51.00,2.18,1.10,

-17,-9,56.00,52.00,53.00,52.00,1.59,1.59,

-16,-9,52.00,52.00,51.00,51.00,1.10,0.00,

-15,-9,52.00,52.00,52.00,51.00,0.55,-0.55,

-14,-9,54.00,52.00,51.00,52.00,1.62,1.62,

-13,-9,51.00,53.00,52.00,52.00,0.00,-1.09,

-12,-9,40.00,51.00,52.00,52.00,-7.13,-6.10,

-11,-9,52.00,51.00,51.00,51.00,0.56,0.56,

-10,-9,51.00,51.00,50.00,51.00,0.56,0.56,

-9,-9,49.00,51.00,50.00,52.00,-1.12,0.00,

-8,-9,50.00,50.00,48.00,52.00,0.00,2.25,

-7,-9,52.00,52.00,51.00,51.00,1.10,0.00,

-6,-9,52.00,52.00,51.00,52.00,0.55,0.55,

-5,-9,52.00,52.00,51.00,52.00,0.55,0.55,

-4,-9,56.00,52.00,52.00,48.00,4.24,0.00,

-3,-9,48.00,50.00,53.00,50.00,-2.78,-2.78,

-2,-9,52.00,52.00,51.00,51.00,1.10,0.00,

-1,-9,52.00,52.00,51.00,51.00,1.10,0.00,

0,-9,52.00,51.00,50.00,51.00,1.11,1.11,

1,-9,43.00,52.00,51.00,51.00,-3.93,-4.99,

2,-9,52.00,52.00,52.00,52.00,0.00,0.00,

3,-9,52.00,52.00,51.00,52.00,0.55,0.55,

4,-9,52.00,52.00,52.00,52.00,0.00,0.00,

5,-9,52.00,52.00,51.00,52.00,0.55,0.55,

6,-9,55.00,52.00,49.00,51.00,3.74,2.70,

7,-9,52.00,53.00,51.00,51.00,1.64,-0.55,

8,-9,52.00,52.00,51.00,52.00,0.55,0.55,

9,-9,52.00,51.00,50.00,51.00,1.11,1.11,

10,-9,54.00,51.00,51.00,51.00,1.64,1.64,

11,-9,46.00,52.00,50.00,52.00,-2.25,-2.25,

12,-9,52.00,52.00,51.00,52.00,0.55,0.55,

13,-9,52.00,52.00,52.00,52.00,0.00,0.00,

14,-9,52.00,52.00,51.00,52.00,0.55,0.55,

