Input_angles1, Input_angles2, Calc_angles1,Calc_angles2, Voltage1,Voltage2,Voltage3,Voltage4,Calc_angles
0,0,0,0,0,0,0,0,                                                                                                                                 29,-30,55.00,55.00,49.00,46.00,7.77,-1.65,

20,-24,50.00,53.00,50.00,53.00,0.00,0.00,

19,-24,53.00,53.00,52.00,52.00,1.08,0.00,

18,-24,53.00,52.00,52.00,52.00,0.55,0.55,

17,-24,54.00,53.00,52.00,52.00,1.61,0.54,

16,-24,56.00,50.00,53.00,52.00,0.54,2.65,

15,-24,52.00,52.00,51.00,52.00,0.55,0.55,

14,-24,52.00,52.00,51.00,52.00,0.55,0.55,

13,-24,50.00,52.00,51.00,51.00,0.00,-1.11,

12,-24,55.00,51.00,52.00,52.00,1.08,2.14,

11,-24,56.00,51.00,50.00,51.00,3.21,3.21,

10,-24,53.00,52.00,52.00,52.00,0.55,0.55,

9,-24,54.00,53.00,52.00,53.00,1.07,1.07,

8,-24,52.00,52.00,52.00,52.00,0.00,0.00,

7,-24,56.00,54.00,49.00,53.00,4.16,3.15,

6,-24,52.00,52.00,51.00,52.00,0.55,0.55,

5,-24,53.00,52.00,51.00,52.00,1.09,1.09,

4,-24,52.00,51.00,50.00,51.00,1.11,1.11,

3,-24,52.00,53.00,53.00,52.00,0.00,-1.08,

2,-24,56.00,52.00,53.00,52.00,1.59,1.59,

1,-24,52.00,52.00,52.00,52.00,0.00,0.00,

0,-24,53.00,52.00,52.00,52.00,0.55,0.55,

-1,-24,52.00,53.00,52.00,52.00,0.55,-0.55,

-2,-24,51.00,50.00,53.00,52.00,-2.18,0.00,

-3,-24,52.00,52.00,51.00,52.00,0.55,0.55,

-4,-24,52.00,52.00,51.00,52.00,0.55,0.55,

-5,-24,52.00,51.00,51.00,51.00,0.56,0.56,

-6,-24,48.00,51.00,52.00,50.00,-1.68,-2.78,

-7,-24,49.00,53.00,52.00,52.00,-1.10,-2.18,

-8,-24,54.00,52.00,51.00,52.00,1.62,1.62,

-9,-24,53.00,53.00,52.00,52.00,1.08,0.00,

-10,-24,53.00,52.00,52.00,52.00,0.55,0.55,

-11,-24,53.00,54.00,53.00,53.00,0.54,-0.54,

-12,-24,52.00,52.00,51.00,52.00,0.55,0.55,

-13,-24,52.00,52.00,51.00,52.00,0.55,0.55,

-14,-24,52.00,52.00,51.00,51.00,1.10,0.00,

-15,-24,52.00,52.00,52.00,51.00,0.55,-0.55,

-16,-24,50.00,53.00,53.00,51.00,-0.55,-2.70,

-17,-24,61.00,52.00,52.00,52.00,4.55,4.55,

-18,-24,52.00,52.00,52.00,52.00,0.00,0.00,

-19,-24,53.00,55.00,53.00,53.00,1.06,-1.06,

-20,-24,54.00,52.00,51.00,52.00,1.62,1.62,

-21,-24,50.00,52.00,51.00,52.00,-0.56,-0.56,

-22,-24,53.00,52.00,52.00,52.00,0.55,0.55,

-23,-24,52.00,52.00,51.00,52.00,0.55,0.55,

-24,-24,53.00,52.00,51.00,51.00,1.64,0.55,

-25,-24,57.00,52.00,53.00,52.00,2.10,2.10,

-26,-24,53.00,52.00,52.00,52.00,0.55,0.55,

-27,-24,56.00,52.00,52.00,52.00,2.12,2.12,

-28,-24,53.00,52.00,52.00,52.00,0.55,0.55,

-29,-24,52.00,53.00,53.00,51.00,0.55,-1.62,

-30,-24,53.00,53.00,52.00,52.00,1.08,0.00,

-30,-23,66.00,52.00,51.00,61.00,2.91,10.70,

-29,-23,51.00,52.00,52.00,52.00,-0.55,-0.55,

-28,-23,52.00,52.00,51.00,51.00,1.10,0.00,

-27,-23,54.00,53.00,52.00,51.00,2.14,0.00,

-26,-23,53.00,53.00,52.00,52.00,1.08,0.00,

